Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
10,24,3,0,,,,289.5,0,0,0,0.0
11,1,4,0,,,,283.5,0,0,0,0.0
11,2,4,0,,,,273.0,0,0,0,0.0
11,3,4,0,,,,271.5,0,0,0,0.0
11,4,4,0,,,,268.0,0,0,0,0.0
11,5,4,0,,,,272.0,0,0,0,0.0
11,6,4,0,,,,266.5,0,0,0,0.0
11,7,4,0,,,,272.5,0,0,0,5.0
11,8,4,0,,,,322.0,0,0,0,62.0
11,9,4,0,,,,409.5,0,0,0,243.0
11,10,4,0,,,,457.0,0,0,0,266.0
11,11,4,0,,,,477.5,0,0,0,199.0
11,12,4,0,,,,495.5,0,0,0,161.0
11,13,4,0,,,,483.5,0,0,0,112.0
11,14,4,0,,,,468.0,0,0,0,62.0
11,15,4,0,,,,483.0,0,0,0,26.0
11,16,4,0,,,,474.5,0,0,0,1.0
11,17,4,0,,,,470.0,0,0,0,0.0
11,18,4,0,,,,422.0,0,0,0,0.0
11,19,4,0,,,,362.5,0,0,0,0.0
11,20,4,0,,,,331.0,0,0,0,0.0
11,21,4,0,,,,317.5,0,0,0,0.0
11,22,4,0,,,,311.5,0,0,0,0.0
11,23,4,0,,,,288.0,0,0,0,0.0
11,24,4,0,,,,278.0,0,0,0,0.0
11,1,5,0,,,,294.0,0,0,0,0.0
11,2,5,0,,,,283.5,0,0,0,0.0
11,3,5,0,,,,277.5,0,0,0,0.0
11,4,5,0,,,,263.0,0,0,0,0.0
11,5,5,0,,,,260.0,0,0,0,0.0
11,6,5,0,,,,264.0,0,0,0,0.0
11,7,5,0,,,,275.0,0,0,0,0.0
11,8,5,0,,,,341.0,0,0,0,21.0
11,9,5,0,,,,451.5,0,0,0,61.0
11,10,5,0,,,,491.0,0,0,0,120.0
11,11,5,0,,,,504.0,0,0,0,225.0
11,12,5,0,,,,511.5,0,0,0,286.0
11,13,5,0,,,,500.5,0,0,0,261.0
11,14,5,0,,,,491.5,0,0,0,214.0
11,15,5,0,,,,479.5,0,0,0,137.0
11,16,5,0,,,,489.5,0,0,0,15.0
11,17,5,0,,,,468.0,0,0,0,0.0
11,18,5,0,,,,431.0,0,0,0,0.0
11,19,5,0,,,,391.0,0,0,0,0.0
11,20,5,0,,,,374.0,0,0,0,0.0
11,21,5,0,,,,346.0,0,0,0,0.0
11,22,5,0,,,,333.0,0,0,0,0.0
11,23,5,0,,,,321.0,0,0,0,0.0
11,24,5,0,,,,314.5,0,0,0,0.0
11,1,6,0,,,,309.0,0,0,0,0.0
11,2,6,0,,,,302.5,0,0,0,0.0
11,3,6,0,,,,309.0,0,0,0,0.0
11,4,6,0,,,,303.0,0,0,0,0.0
11,5,6,0,,,,294.5,0,0,0,0.0
11,6,6,0,,,,295.0,0,0,0,0.0
11,7,6,0,,,,305.5,0,0,0,4.0
11,8,6,0,,,,368.5,0,0,0,75.0
11,9,6,0,,,,442.0,0,0,0,209.0
11,10,6,0,,,,459.5,0,0,0,392.0
11,11,6,0,,,,489.5,0,0,0,618.0
11,12,6,0,,,,485.0,0,0,0,695.0
11,13,6,0,,,,467.5,0,0,0,708.0
11,14,6,0,,,,477.0,0,0,0,597.0
11,15,6,0,,,,478.0,0,0,0,288.0
11,16,6,0,,,,472.5,0,0,0,25.0
11,17,6,0,,,,458.5,0,0,0,0.0
11,18,6,0,,,,420.0,0,0,0,0.0
11,19,6,0,,,,383.5,0,0,0,0.0
11,20,6,0,,,,366.5,0,0,0,0.0
11,21,6,0,,,,353.5,0,0,0,0.0
11,22,6,0,,,,329.5,0,0,0,0.0
11,23,6,0,,,,326.5,0,0,0,0.0
11,24,6,0,,,,291.0,0,0,0,0.0
11,1,7,0,,,,301.0,0,0,0,0.0
11,2,7,0,,,,277.5,0,0,0,0.0
11,3,7,0,,,,288.0,0,0,0,0.0
11,4,7,0,,,,268.0,0,0,0,0.0
11,5,7,0,,,,271.0,0,0,0,0.0
11,6,7,0,,,,266.5,0,0,0,0.0
11,7,7,0,,,,271.5,0,0,0,0.0
