Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.0712,0.183,0.2421,0.2629
0.0194,0.2161,0.268,0.2701
0.011,0.2942,0.305,0.2668
0.0068,0.2507,0.267,0.258
0.0209,0.2153,0.35,0.2723
0.0551,0.2481,0.35,0.3142
0.183,0.2421,0.35,0.3308
0.2161,0.268,0.3205,0.3441
0.2942,0.305,0.3073,0.35
0.2507,0.267,0.247,0.35
0.2153,0.35,0.2119,0.35
0.2481,0.35,0.2619,0.35
0.2421,0.35,0.2629,0.35
0.268,0.3205,0.2701,0.35
0.305,0.3073,0.2668,0.35
0.267,0.247,0.258,0.35
0.35,0.2119,0.2723,0.35
0.35,0.2619,0.3142,0.35
0.35,0.2629,0.3308,0.35
0.3205,0.2701,0.3441,0.35
0.3073,0.2668,0.35,0.35
0.247,0.258,0.35,0.3257
0.2119,0.2723,0.35,0.3279
0.2619,0.3142,0.35,0.2923
0.2629,0.3308,0.35,0.2866
0.2701,0.3441,0.35,0.2743
0.2668,0.35,0.35,0.2685
0.258,0.35,0.35,0.2745
0.2723,0.35,0.35,0.2852
0.3142,0.35,0.35,0.3011
0.3308,0.35,0.35,0.3293
0.3441,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.3257,0.35
0.35,0.35,0.3279,0.35
0.35,0.35,0.2923,0.347
0.35,0.35,0.2866,0.3343
0.35,0.35,0.2743,0.3336
0.35,0.35,0.2685,0.3176
0.35,0.3257,0.2745,0.3293
0.35,0.3279,0.2852,0.35
0.35,0.2923,0.3011,0.35
0.35,0.2866,0.3293,0.35
0.35,0.2743,0.35,0.3216
0.35,0.2685,0.35,0.2986
0.3257,0.2745,0.35,0.2889
0.3279,0.2852,0.35,0.2514
0.2923,0.3011,0.347,0.3197
0.2866,0.3293,0.3343,0.3357
0.2743,0.35,0.3336,0.2982
0.2685,0.35,0.3176,0.2601
0.2745,0.35,0.3293,0.2547
0.2852,0.35,0.35,0.2814
0.3011,0.347,0.35,0.3124
0.3293,0.3343,0.35,0.338
0.35,0.3336,0.3216,0.35
0.35,0.3176,0.2986,0.35
0.35,0.3293,0.2889,0.35
0.35,0.35,0.2514,0.3429
0.347,0.35,0.3197,0.3204
0.3343,0.35,0.3357,0.3244
0.3336,0.3216,0.2982,0.3201
0.3176,0.2986,0.2601,0.3204
0.3293,0.2889,0.2547,0.3369
0.35,0.2514,0.2814,0.35
0.35,0.3197,0.3124,0.35
0.35,0.3357,0.338,0.35
0.3216,0.2982,0.35,0.35
0.2986,0.2601,0.35,0.3481
0.2889,0.2547,0.35,0.3352
0.2514,0.2814,0.3429,0.3251
0.3197,0.3124,0.3204,0.3219
0.3357,0.338,0.3244,0.3087
0.2982,0.35,0.3201,0.3031
0.2601,0.35,0.3204,0.2999
0.2547,0.35,0.3369,0.2944
0.2814,0.3429,0.35,0.2997
0.3124,0.3204,0.35,0.3284
0.338,0.3244,0.35,0.3426
0.35,0.3201,0.35,0.3404
0.35,0.3204,0.3481,0.35
0.35,0.3369,0.3352,0.35
0.3429,0.35,0.3251,0.35
