Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,5,0,,,,264.0,0,0,0,0.0
1,1,6,0,,,,264.5,0,0,0,0.0
1,2,6,0,,,,266.0,0,0,0,0.0
1,3,6,0,,,,263.5,0,0,0,0.0
1,4,6,0,,,,263.5,0,0,0,0.0
1,5,6,0,,,,264.5,0,0,0,0.0
1,6,6,0,,,,268.0,0,0,0,0.0
1,7,6,0,,,,285.0,0,0,0,0.0
1,8,6,0,,,,295.0,0,0,0,1.0
1,9,6,0,,,,297.0,0,0,0,15.0
1,10,6,0,,,,300.5,0,0,0,40.0
1,11,6,0,,,,304.0,0,0,0,67.0
1,12,6,0,,,,305.0,0,0,0,94.0
1,13,6,0,,,,308.0,0,0,0,67.0
1,14,6,0,,,,306.5,0,0,0,18.0
1,15,6,0,,,,304.0,0,0,0,0.0
1,16,6,0,,,,306.5,0,0,0,0.0
1,17,6,0,,,,295.5,0,0,0,0.0
1,18,6,0,,,,288.0,0,0,0,0.0
1,19,6,0,,,,285.5,0,0,0,0.0
1,20,6,0,,,,282.5,0,0,0,0.0
1,21,6,0,,,,275.5,0,0,0,0.0
1,22,6,0,,,,272.5,0,0,0,0.0
1,23,6,0,,,,265.0,0,0,0,0.0
1,24,6,0,,,,268.0,0,0,0,0.0
1,1,7,0,,,,266.5,0,0,0,0.0
1,2,7,0,,,,265.0,0,0,0,0.0
1,3,7,0,,,,263.0,0,0,0,0.0
1,4,7,0,,,,264.5,0,0,0,0.0
1,5,7,0,,,,263.0,0,0,0,0.0
1,6,7,0,,,,264.0,0,0,0,0.0
1,7,7,0,,,,266.0,0,0,0,0.0
1,8,7,0,,,,270.0,0,0,0,14.0
1,9,7,0,,,,287.0,0,0,0,89.0
1,10,7,0,,,,286.5,0,0,0,135.0
1,11,7,0,,,,294.5,0,0,0,124.0
1,12,7,0,,,,293.5,0,0,0,88.0
1,13,7,0,,,,282.5,0,0,0,60.0
1,14,7,0,,,,274.5,0,0,0,19.0
1,15,7,0,,,,272.0,0,0,0,0.0
1,16,7,0,,,,269.0,0,0,0,0.0
1,17,7,0,,,,271.0,0,0,0,0.0
1,18,7,0,,,,272.0,0,0,0,0.0
1,19,7,0,,,,270.5,0,0,0,0.0
1,20,7,0,,,,270.0,0,0,0,0.0
1,21,7,0,,,,265.5,0,0,0,0.0
1,22,7,0,,,,269.0,0,0,0,0.0
1,23,7,0,,,,262.5,0,0,0,0.0
1,24,7,0,,,,262.5,0,0,0,0.0
1,1,1,0,,,,261.0,0,0,0,0.0
1,2,1,0,,,,263.0,0,0,0,0.0
1,3,1,0,,,,261.5,0,0,0,0.0
1,4,1,0,,,,261.5,0,0,0,0.0
1,5,1,0,,,,262.0,0,0,0,0.0
1,6,1,0,,,,261.5,0,0,0,0.0
1,7,1,0,,,,260.0,0,0,0,0.0
1,8,1,0,,,,258.5,0,0,0,0.0
