Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
9,24,7,1,,,,95.2,0,0,0,0.0
10,1,1,1,,,,96.4,0,0,0,0.0
10,2,1,1,,,,95.8,0,0,0,0.0
10,3,1,1,,,,93.2,0,0,0,0.0
10,4,1,1,,,,92.2,0,0,0,0.0
10,5,1,1,,,,106.5,0,0,0,0.0
10,6,1,1,,,,129.1,0,0,0,3.0
10,7,1,1,,,,119.2,0,0,0,52.0
10,8,1,1,,,,120.7,0,0,0,112.0
10,9,1,1,,,,132.6,0,0,0,195.0
10,10,1,1,,,,140.0,0,0,0,215.0
10,11,1,1,,,,143.2,0,0,0,170.0
10,12,1,1,,,,132.0,0,0,0,150.0
10,13,1,1,,,,102.3,0,0,0,118.0
10,14,1,1,,,,101.0,0,0,0,73.0
10,15,1,1,,,,104.1,0,0,0,49.0
10,16,1,1,,,,105.6,0,0,0,28.0
10,17,1,1,,,,101.8,0,0,0,3.0
10,18,1,1,,,,98.8,0,0,0,0.0
10,19,1,1,,,,97.6,0,0,0,0.0
10,20,1,1,,,,97.2,0,0,0,0.0
10,21,1,1,,,,96.4,0,0,0,0.0
10,22,1,1,,,,101.0,0,0,0,0.0
10,23,1,1,,,,101.5,0,0,0,0.0
10,24,1,1,,,,103.0,0,0,0,0.0
10,1,2,1,,,,105.7,0,0,0,0.0
10,2,2,1,,,,95.5,0,0,0,0.0
10,3,2,1,,,,119.7,0,0,0,0.0
10,4,2,1,,,,126.9,0,0,0,0.0
10,5,2,1,,,,134.0,0,0,0,0.0
10,6,2,1,,,,137.6,0,0,0,60.0
10,7,2,1,,,,179.4,0,0,0,303.0
10,8,2,1,,,,225.0,0,0,0,412.0
10,9,2,1,,,,222.8,0,0,0,611.0
10,10,2,1,,,,222.7,0,0,0,615.0
10,11,2,1,,,,225.9,0,0,0,557.0
10,12,2,1,,,,216.5,0,0,0,660.0
10,13,2,1,,,,215.8,0,0,0,751.0
10,14,2,1,,,,212.4,0,0,0,288.0
10,15,2,1,,,,207.5,0,0,0,124.0
10,16,2,1,,,,194.9,0,0,0,53.0
10,17,2,1,,,,175.9,0,0,0,3.0
10,18,2,1,,,,130.5,0,0,0,0.0
10,19,2,1,,,,106.6,0,0,0,0.0
10,20,2,1,,,,100.4,0,0,0,0.0
10,21,2,1,,,,92.7,0,0,0,0.0
10,22,2,1,,,,97.3,0,0,0,0.0
10,23,2,1,,,,90.1,0,0,0,0.0
10,24,2,1,,,,92.8,0,0,0,0.0
10,1,3,1,,,,94.3,0,0,0,0.0
10,2,3,1,,,,95.3,0,0,0,0.0
10,3,3,1,,,,93.8,0,0,0,0.0
10,4,3,1,,,,102.3,0,0,0,0.0
10,5,3,1,,,,107.1,0,0,0,0.0
10,6,3,1,,,,109.6,0,0,0,45.0
10,7,3,1,,,,211.1,0,0,0,311.0
10,8,3,1,,,,230.4,0,0,0,639.0
10,9,3,1,,,,241.6,0,0,0,757.0
10,10,3,1,,,,244.2,0,0,0,805.0
10,11,3,1,,,,237.2,0,0,0,828.0
10,12,3,1,,,,236.5,0,0,0,830.0
10,13,3,1,,,,237.5,0,0,0,815.0
10,14,3,1,,,,231.5,0,0,0,764.0
10,15,3,1,,,,219.3,0,0,0,641.0
10,16,3,1,,,,208.6,0,0,0,245.0
10,17,3,1,,,,190.0,0,0,0,3.0
10,18,3,1,,,,145.8,0,0,0,0.0
10,19,3,1,,,,105.3,0,0,0,0.0
10,20,3,1,,,,107.2,0,0,0,0.0
10,21,3,1,,,,103.6,0,0,0,0.0
10,22,3,1,,,,91.6,0,0,0,0.0
10,23,3,1,,,,93.7,0,0,0,0.0
10,24,3,1,,,,96.7,0,0,0,0.0
10,1,4,1,,,,95.1,0,0,0,0.0
10,2,4,1,,,,93.4,0,0,0,0.0
10,3,4,1,,,,91.9,0,0,0,0.0
10,4,4,1,,,,101.1,0,0,0,0.0
10,5,4,1,,,,106.6,0,0,0,0.0
10,6,4,1,,,,106.6,0,0,0,12.0
10,7,4,1,,,,159.9,0,0,0,84.0
10,8,4,1,,,,208.0,0,0,0,228.0
10,9,4,1,,,,230.2,0,0,0,332.0
10,10,4,1,,,,233.7,0,0,0,485.0
10,11,4,1,,,,227.8,0,0,0,554.0
10,12,4,1,,,,235.1,0,0,0,597.0
10,13,4,1,,,,261.2,0,0,0,514.0
10,14,4,1,,,,231.0,0,0,0,266.0
10,15,4,1,,,,225.6,0,0,0,206.0
10,16,4,1,,,,229.3,0,0,0,101.0
10,17,4,1,,,,198.5,0,0,0,5.0
10,18,4,1,,,,169.8,0,0,0,0.0
10,19,4,1,,,,140.4,0,0,0,0.0
10,20,4,1,,,,141.1,0,0,0,0.0
10,21,4,1,,,,125.1,0,0,0,0.0
