Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
10,24,3,0,,,,302.1,0,0,0,0.0
11,1,4,0,,,,300.5,0,0,0,0.0
11,2,4,0,,,,298.0,0,0,0,0.0
11,3,4,0,,,,293.6,0,0,0,0.0
11,4,4,0,,,,298.9,0,0,0,0.0
11,5,4,0,,,,302.5,0,0,0,0.0
11,6,4,0,,,,335.2,0,0,0,0.0
11,7,4,0,,,,383.0,0,0,0,5.0
11,8,4,0,,,,455.6,0,0,0,62.0
11,9,4,0,,,,556.6,0,0,0,243.0
11,10,4,0,,,,573.5,0,0,0,266.0
11,11,4,0,,,,572.8,0,0,0,199.0
11,12,4,0,,,,621.4,0,0,0,161.0
11,13,4,0,,,,588.2,0,0,0,112.0
11,14,4,0,,,,571.9,0,0,0,62.0
11,15,4,0,,,,618.8,0,0,0,26.0
11,16,4,0,,,,530.9,0,0,0,1.0
11,17,4,0,,,,474.0,0,0,0,0.0
11,18,4,0,,,,400.4,0,0,0,0.0
11,19,4,0,,,,358.8,0,0,0,0.0
11,20,4,0,,,,333.2,0,0,0,0.0
11,21,4,0,,,,323.9,0,0,0,0.0
11,22,4,0,,,,309.7,0,0,0,0.0
11,23,4,0,,,,302.5,0,0,0,0.0
11,24,4,0,,,,285.9,0,0,0,0.0
11,1,5,0,,,,280.9,0,0,0,0.0
11,2,5,0,,,,282.6,0,0,0,0.0
11,3,5,0,,,,284.4,0,0,0,0.0
11,4,5,0,,,,281.1,0,0,0,0.0
11,5,5,0,,,,290.4,0,0,0,0.0
11,6,5,0,,,,319.0,0,0,0,0.0
11,7,5,0,,,,380.0,0,0,0,0.0
11,8,5,0,,,,460.8,0,0,0,21.0
11,9,5,0,,,,583.0,0,0,0,61.0
11,10,5,0,,,,622.0,0,0,0,120.0
11,11,5,0,,,,625.1,0,0,0,225.0
11,12,5,0,,,,591.8,0,0,0,286.0
11,13,5,0,,,,597.2,0,0,0,261.0
11,14,5,0,,,,600.8,0,0,0,214.0
11,15,5,0,,,,619.6,0,0,0,137.0
11,16,5,0,,,,556.1,0,0,0,15.0
11,17,5,0,,,,474.3,0,0,0,0.0
11,18,5,0,,,,405.7,0,0,0,0.0
11,19,5,0,,,,370.7,0,0,0,0.0
11,20,5,0,,,,347.3,0,0,0,0.0
11,21,5,0,,,,334.2,0,0,0,0.0
11,22,5,0,,,,317.8,0,0,0,0.0
11,23,5,0,,,,303.7,0,0,0,0.0
11,24,5,0,,,,294.3,0,0,0,0.0
11,1,6,0,,,,294.1,0,0,0,0.0
11,2,6,0,,,,293.9,0,0,0,0.0
11,3,6,0,,,,295.4,0,0,0,0.0
11,4,6,0,,,,295.2,0,0,0,0.0
11,5,6,0,,,,293.4,0,0,0,0.0
11,6,6,0,,,,322.8,0,0,0,0.0
11,7,6,0,,,,366.1,0,0,0,4.0
11,8,6,0,,,,436.7,0,0,0,75.0
11,9,6,0,,,,491.4,0,0,0,209.0
11,10,6,0,,,,526.2,0,0,0,392.0
11,11,6,0,,,,583.7,0,0,0,618.0
11,12,6,0,,,,582.6,0,0,0,695.0
11,13,6,0,,,,548.7,0,0,0,708.0
11,14,6,0,,,,538.2,0,0,0,597.0
11,15,6,0,,,,640.5,0,0,0,288.0
11,16,6,0,,,,535.8,0,0,0,25.0
11,17,6,0,,,,468.1,0,0,0,0.0
11,18,6,0,,,,418.7,0,0,0,0.0
11,19,6,0,,,,363.9,0,0,0,0.0
11,20,6,0,,,,338.6,0,0,0,0.0
11,21,6,0,,,,325.9,0,0,0,0.0
11,22,6,0,,,,312.7,0,0,0,0.0
11,23,6,0,,,,306.7,0,0,0,0.0
11,24,6,0,,,,297.8,0,0,0,0.0
11,1,7,0,,,,292.0,0,0,0,0.0
11,2,7,0,,,,291.8,0,0,0,0.0
11,3,7,0,,,,292.3,0,0,0,0.0
11,4,7,0,,,,291.6,0,0,0,0.0
11,5,7,0,,,,292.9,0,0,0,0.0
11,6,7,0,,,,300.7,0,0,0,0.0
11,7,7,0,,,,302.4,0,0,0,0.0
11,8,7,0,,,,313.0,0,0,0,7.0
11,9,7,0,,,,327.1,0,0,0,24.0
11,10,7,0,,,,326.1,0,0,0,32.0
11,11,7,0,,,,338.9,0,0,0,45.0
11,12,7,0,,,,345.4,0,0,0,95.0
11,13,7,0,,,,343.8,0,0,0,140.0
11,14,7,0,,,,344.9,0,0,0,108.0
11,15,7,0,,,,339.1,0,0,0,48.0
11,16,7,0,,,,347.7,0,0,0,2.0
11,17,7,0,,,,326.2,0,0,0,0.0
11,18,7,0,,,,323.1,0,0,0,0.0
11,19,7,0,,,,313.3,0,0,0,0.0
11,20,7,0,,,,310.9,0,0,0,0.0
11,21,7,0,,,,300.7,0,0,0,0.0
11,22,7,0,,,,304.7,0,0,0,0.0
11,23,7,0,,,,296.1,0,0,0,0.0
11,24,7,0,,,,292.9,0,0,0,0.0
11,1,1,0,,,,288.9,0,0,0,0.0
11,2,1,0,,,,290.0,0,0,0,0.0
11,3,1,0,,,,286.9,0,0,0,0.0
11,4,1,0,,,,283.4,0,0,0,0.0
11,5,1,0,,,,283.6,0,0,0,0.0
11,6,1,0,,,,293.8,0,0,0,0.0
11,7,1,0,,,,296.5,0,0,0,2.0
11,8,1,0,,,,296.2,0,0,0,59.0
11,9,1,0,,,,285.4,0,0,0,225.0
11,10,1,0,,,,276.8,0,0,0,314.0
11,11,1,0,,,,273.9,0,0,0,420.0
11,12,1,0,,,,289.3,0,0,0,548.0
11,13,1,0,,,,300.0,0,0,0,608.0
11,14,1,0,,,,306.2,0,0,0,571.0
11,15,1,0,,,,315.2,0,0,0,398.0
11,16,1,0,,,,337.0,0,0,0,30.0
11,17,1,0,,,,344.8,0,0,0,0.0
11,18,1,0,,,,327.8,0,0,0,0.0
11,19,1,0,,,,316.5,0,0,0,0.0
11,20,1,0,,,,314.1,0,0,0,0.0
11,21,1,0,,,,314.5,0,0,0,0.0
11,22,1,0,,,,312.6,0,0,0,0.0
11,23,1,0,,,,301.2,0,0,0,0.0
11,24,1,0,,,,296.2,0,0,0,0.0
11,1,2,0,,,,298.0,0,0,0,0.0
11,2,2,0,,,,300.6,0,0,0,0.0
11,3,2,0,,,,299.1,0,0,0,0.0
11,4,2,0,,,,306.2,0,0,0,0.0
11,5,2,0,,,,309.7,0,0,0,0.0
11,6,2,0,,,,335.9,0,0,0,0.0
11,7,2,0,,,,380.0,0,0,0,0.0
11,8,2,0,,,,499.1,0,0,0,34.0
11,9,2,0,,,,557.3,0,0,0,110.0
11,10,2,0,,,,653.6,0,0,0,276.0
11,11,2,0,,,,640.4,0,0,0,392.0
