Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,5,0,,,,15.9,0,0,0,0.0
1,1,6,0,,,,15.7,0,0,0,0.0
1,2,6,0,,,,15.7,0,0,0,0.0
1,3,6,0,,,,15.7,0,0,0,0.0
1,4,6,0,,,,15.7,0,0,0,0.0
1,5,6,0,,,,15.6,0,0,0,0.0
1,6,6,0,,,,15.5,0,0,0,0.0
1,7,6,0,,,,15.6,0,0,0,0.0
1,8,6,0,,,,17.5,0,0,0,91.0
1,9,6,0,,,,17.2,0,0,0,380.0
1,10,6,0,,,,17.4,0,0,0,582.0
1,11,6,0,,,,17.3,0,0,0,671.0
1,12,6,0,,,,17.3,0,0,0,674.0
1,13,6,0,,,,17.4,0,0,0,615.0
1,14,6,0,,,,17.3,0,0,0,436.0
1,15,6,0,,,,17.6,0,0,0,125.0
1,16,6,0,,,,17.5,0,0,0,0.0
1,17,6,0,,,,17.9,0,0,0,0.0
1,18,6,0,,,,16.9,0,0,0,0.0
1,19,6,0,,,,15.9,0,0,0,0.0
1,20,6,0,,,,15.6,0,0,0,0.0
1,21,6,0,,,,15.7,0,0,0,0.0
1,22,6,0,,,,15.9,0,0,0,0.0
1,23,6,0,,,,15.8,0,0,0,0.0
1,24,6,0,,,,16.1,0,0,0,0.0
1,1,7,0,,,,15.6,0,0,0,0.0
1,2,7,0,,,,15.8,0,0,0,0.0
1,3,7,0,,,,15.6,0,0,0,0.0
1,4,7,0,,,,15.6,0,0,0,0.0
1,5,7,0,,,,15.6,0,0,0,0.0
1,6,7,0,,,,15.5,0,0,0,0.0
1,7,7,0,,,,15.6,0,0,0,0.0
1,8,7,0,,,,15.7,0,0,0,31.0
1,9,7,0,,,,15.0,0,0,0,296.0
1,10,7,0,,,,15.5,0,0,0,566.0
1,11,7,0,,,,14.8,0,0,0,494.0
1,12,7,0,,,,15.0,0,0,0,376.0
1,13,7,0,,,,15.1,0,0,0,284.0
1,14,7,0,,,,15.2,0,0,0,130.0
1,15,7,0,,,,15.5,0,0,0,24.0
1,16,7,0,,,,15.6,0,0,0,0.0
1,17,7,0,,,,16.1,0,0,0,0.0
1,18,7,0,,,,16.4,0,0,0,0.0
1,19,7,0,,,,16.2,0,0,0,0.0
1,20,7,0,,,,15.8,0,0,0,0.0
1,21,7,0,,,,15.7,0,0,0,0.0
1,22,7,0,,,,15.7,0,0,0,0.0
1,23,7,0,,,,15.7,0,0,0,0.0
1,24,7,0,,,,16.2,0,0,0,0.0
1,1,1,0,,,,16.1,0,0,0,0.0
1,2,1,0,,,,16.2,0,0,0,0.0
1,3,1,0,,,,16.3,0,0,0,0.0
1,4,1,0,,,,16.2,0,0,0,0.0
1,5,1,0,,,,16.2,0,0,0,0.0
1,6,1,0,,,,16.3,0,0,0,0.0
1,7,1,0,,,,16.0,0,0,0,0.0
1,8,1,0,,,,16.1,0,0,0,83.0
1,9,1,0,,,,15.7,0,0,0,295.0
1,10,1,0,,,,15.5,0,0,0,419.0
1,11,1,0,,,,15.3,0,0,0,457.0
1,12,1,0,,,,15.2,0,0,0,428.0
1,13,1,0,,,,15.4,0,0,0,320.0
1,14,1,0,,,,15.5,0,0,0,166.0
1,15,1,0,,,,15.4,0,0,0,35.0
1,16,1,0,,,,15.1,0,0,0,0.0
1,17,1,0,,,,15.8,0,0,0,0.0
1,18,1,0,,,,16.2,0,0,0,0.0
1,19,1,0,,,,16.3,0,0,0,0.0
1,20,1,0,,,,16.3,0,0,0,0.0
1,21,1,0,,,,16.1,0,0,0,0.0
1,22,1,0,,,,16.0,0,0,0,0.0
1,23,1,0,,,,16.2,0,0,0,0.0
1,24,1,0,,,,16.2,0,0,0,0.0
1,1,2,0,,,,16.0,0,0,0,0.0
1,2,2,0,,,,16.1,0,0,0,0.0
1,3,2,0,,,,16.4,0,0,0,0.0
1,4,2,0,,,,16.0,0,0,0,0.0
1,5,2,0,,,,16.1,0,0,0,0.0
1,6,2,0,,,,21.7,0,0,0,0.0
1,7,2,0,,,,16.7,0,0,0,0.0
1,8,2,0,,,,17.6,0,0,0,33.0
1,9,2,0,,,,24.1,0,0,0,176.0
1,10,2,0,,,,29.3,0,0,0,358.0
1,11,2,0,,,,32.0,0,0,0,419.0
1,12,2,0,,,,29.5,0,0,0,430.0
1,13,2,0,,,,29.6,0,0,0,400.0
1,14,2,0,,,,28.6,0,0,0,296.0
1,15,2,0,,,,30.6,0,0,0,94.0
1,16,2,0,,,,29.2,0,0,0,0.0
1,17,2,0,,,,31.1,0,0,0,0.0
1,18,2,0,,,,28.4,0,0,0,0.0
1,19,2,0,,,,24.4,0,0,0,0.0
1,20,2,0,,,,23.0,0,0,0,0.0
