Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,5,0,,,,75.7,0,0,0,0.0
1,1,6,0,,,,76.4,0,0,0,0.0
1,2,6,0,,,,77.1,0,0,0,0.0
1,3,6,0,,,,76.5,0,0,0,0.0
1,4,6,0,,,,78.6,0,0,0,0.0
1,5,6,0,,,,78.4,0,0,0,0.0
1,6,6,0,,,,112.7,0,0,0,0.0
1,7,6,0,,,,148.8,0,0,0,0.0
1,8,6,0,,,,140.2,0,0,0,1.0
1,9,6,0,,,,130.1,0,0,0,15.0
1,10,6,0,,,,124.7,0,0,0,40.0
1,11,6,0,,,,124.8,0,0,0,67.0
1,12,6,0,,,,117.4,0,0,0,94.0
1,13,6,0,,,,117.1,0,0,0,67.0
1,14,6,0,,,,119.4,0,0,0,18.0
1,15,6,0,,,,117.0,0,0,0,0.0
1,16,6,0,,,,113.2,0,0,0,0.0
1,17,6,0,,,,113.8,0,0,0,0.0
1,18,6,0,,,,114.4,0,0,0,0.0
1,19,6,0,,,,91.2,0,0,0,0.0
1,20,6,0,,,,76.6,0,0,0,0.0
1,21,6,0,,,,75.8,0,0,0,0.0
1,22,6,0,,,,76.8,0,0,0,0.0
1,23,6,0,,,,77.1,0,0,0,0.0
1,24,6,0,,,,77.6,0,0,0,0.0
1,1,7,0,,,,75.4,0,0,0,0.0
1,2,7,0,,,,76.6,0,0,0,0.0
1,3,7,0,,,,76.1,0,0,0,0.0
1,4,7,0,,,,77.1,0,0,0,0.0
1,5,7,0,,,,75.2,0,0,0,0.0
1,6,7,0,,,,76.4,0,0,0,0.0
1,7,7,0,,,,114.7,0,0,0,0.0
1,8,7,0,,,,129.2,0,0,0,14.0
1,9,7,0,,,,117.8,0,0,0,89.0
1,10,7,0,,,,115.5,0,0,0,135.0
1,11,7,0,,,,111.1,0,0,0,124.0
1,12,7,0,,,,107.3,0,0,0,88.0
1,13,7,0,,,,107.9,0,0,0,60.0
1,14,7,0,,,,102.1,0,0,0,19.0
1,15,7,0,,,,107.1,0,0,0,0.0
1,16,7,0,,,,111.6,0,0,0,0.0
1,17,7,0,,,,112.5,0,0,0,0.0
1,18,7,0,,,,112.4,0,0,0,0.0
1,19,7,0,,,,91.2,0,0,0,0.0
1,20,7,0,,,,77.3,0,0,0,0.0
1,21,7,0,,,,78.3,0,0,0,0.0
1,22,7,0,,,,77.8,0,0,0,0.0
1,23,7,0,,,,74.4,0,0,0,0.0
1,24,7,0,,,,74.3,0,0,0,0.0
1,1,1,0,,,,73.8,0,0,0,0.0
1,2,1,0,,,,75.3,0,0,0,0.0
1,3,1,0,,,,75.5,0,0,0,0.0
1,4,1,0,,,,74.3,0,0,0,0.0
1,5,1,0,,,,75.1,0,0,0,0.0
1,6,1,0,,,,76.7,0,0,0,0.0
1,7,1,0,,,,103.1,0,0,0,0.0
1,8,1,0,,,,122.1,0,0,0,0.0
1,9,1,0,,,,109.6,0,0,0,7.0
1,10,1,0,,,,103.7,0,0,0,14.0
1,11,1,0,,,,102.0,0,0,0,16.0
1,12,1,0,,,,102.2,0,0,0,13.0
1,13,1,0,,,,101.2,0,0,0,7.0
1,14,1,0,,,,103.1,0,0,0,2.0
1,15,1,0,,,,105.2,0,0,0,0.0
1,16,1,0,,,,107.9,0,0,0,0.0
1,17,1,0,,,,104.3,0,0,0,0.0
1,18,1,0,,,,105.8,0,0,0,0.0
1,19,1,0,,,,88.1,0,0,0,0.0
1,20,1,0,,,,76.8,0,0,0,0.0
1,21,1,0,,,,76.0,0,0,0,0.0
1,22,1,0,,,,74.3,0,0,0,0.0
1,23,1,0,,,,75.9,0,0,0,0.0
1,24,1,0,,,,75.3,0,0,0,0.0
1,1,2,0,,,,76.3,0,0,0,0.0
1,2,2,0,,,,77.9,0,0,0,0.0
1,3,2,0,,,,76.6,0,0,0,0.0
1,4,2,0,,,,76.4,0,0,0,0.0
1,5,2,0,,,,79.4,0,0,0,0.0
1,6,2,0,,,,125.7,0,0,0,0.0
1,7,2,0,,,,162.0,0,0,0,0.0
1,8,2,0,,,,162.6,0,0,0,3.0
1,9,2,0,,,,183.0,0,0,0,36.0
1,10,2,0,,,,189.3,0,0,0,102.0
1,11,2,0,,,,189.4,0,0,0,126.0
1,12,2,0,,,,186.0,0,0,0,77.0
1,13,2,0,,,,178.6,0,0,0,37.0
1,14,2,0,,,,167.4,0,0,0,19.0
1,15,2,0,,,,168.2,0,0,0,4.0
1,16,2,0,,,,163.3,0,0,0,0.0
1,17,2,0,,,,157.1,0,0,0,0.0
1,18,2,0,,,,132.9,0,0,0,0.0
1,19,2,0,,,,102.2,0,0,0,0.0
1,20,2,0,,,,90.8,0,0,0,0.0
1,21,2,0,,,,88.0,0,0,0,0.0
1,22,2,0,,,,84.0,0,0,0,0.0
1,23,2,0,,,,83.2,0,0,0,0.0
1,24,2,0,,,,81.6,0,0,0,0.0
1,1,3,0,,,,81.7,0,0,0,0.0
1,2,3,0,,,,82.1,0,0,0,0.0
1,3,3,0,,,,85.7,0,0,0,0.0
1,4,3,0,,,,81.6,0,0,0,0.0
1,5,3,0,,,,82.5,0,0,0,0.0
1,6,3,0,,,,117.8,0,0,0,0.0
1,7,3,0,,,,153.7,0,0,0,0.0
1,8,3,0,,,,168.5,0,0,0,1.0
1,9,3,0,,,,189.7,0,0,0,24.0
1,10,3,0,,,,187.5,0,0,0,56.0
1,11,3,0,,,,182.4,0,0,0,95.0
1,12,3,0,,,,178.5,0,0,0,110.0
1,13,3,0,,,,170.9,0,0,0,83.0
1,14,3,0,,,,176.1,0,0,0,36.0
1,15,3,0,,,,174.6,0,0,0,3.0
1,16,3,0,,,,169.4,0,0,0,0.0
1,17,3,0,,,,157.3,0,0,0,0.0
1,18,3,0,,,,135.9,0,0,0,0.0
1,19,3,0,,,,126.2,0,0,0,0.0
1,20,3,0,,,,103.7,0,0,0,0.0
1,21,3,0,,,,96.6,0,0,0,0.0
1,22,3,0,,,,84.3,0,0,0,0.0
1,23,3,0,,,,77.7,0,0,0,0.0
