,B0,B3,B9,B11,B12,B15,B16,B25,B26,B32,B38,B44,B45,B48,B49
B0,0.000,1.102,1.461,0.800,0.901,1.364,0.946,0.635,0.546,0.589,0.817,0.551,0.641,0.702,1.069
B3,1.102,0.000,0.974,0.974,0.948,0.870,1.234,1.005,1.109,1.061,1.028,1.064,0.958,0.955,1.161
B9,1.461,0.974,0.000,1.251,1.266,1.011,1.355,1.403,1.451,1.396,1.354,1.420,1.330,1.299,1.311
B11,0.800,0.974,1.251,0.000,0.684,1.267,0.856,0.761,0.789,0.588,0.813,0.697,0.617,0.519,1.017
B12,0.901,0.948,1.266,0.684,0.000,1.203,1.016,0.748,0.931,0.843,0.840,0.787,0.727,0.553,1.067
B15,1.364,0.870,1.011,1.267,1.203,0.000,1.388,1.234,1.333,1.343,1.194,1.315,1.253,1.246,1.311
B16,0.946,1.234,1.355,0.856,1.016,1.388,0.000,1.060,0.908,0.857,0.988,0.820,0.939,0.924,1.124
B25,0.635,1.005,1.403,0.761,0.748,1.234,1.060,0.000,0.638,0.693,0.674,0.625,0.591,0.604,1.064
B26,0.546,1.109,1.451,0.789,0.931,1.333,0.908,0.638,0.000,0.595,0.741,0.510,0.641,0.697,1.059
B32,0.589,1.061,1.396,0.588,0.843,1.343,0.857,0.693,0.595,0.000,0.768,0.566,0.613,0.591,1.042
B38,0.817,1.028,1.354,0.813,0.840,1.194,0.988,0.674,0.741,0.768,0.000,0.700,0.727,0.715,1.086
B44,0.551,1.064,1.420,0.697,0.787,1.315,0.820,0.625,0.510,0.566,0.700,0.000,0.585,0.552,1.033
B45,0.641,0.958,1.330,0.617,0.727,1.253,0.939,0.591,0.641,0.613,0.727,0.585,0.000,0.534,1.000
B48,0.702,0.955,1.299,0.519,0.553,1.246,0.924,0.604,0.697,0.591,0.715,0.552,0.534,0.000,1.004
B49,1.069,1.161,1.311,1.017,1.067,1.311,1.124,1.064,1.059,1.042,1.086,1.033,1.000,1.004,0.000
