,B0,B3,B9,B11,B12,B15,B16,B25,B26,B32,B38,B44,B45,B48,B49
B0,0.0,1.8884236812591553,5.037353515625,0.48043572902679443,1.019002914428711,2.3679933547973633,0.4247369170188904,0.29647159576416016,0.2552168667316437,0.46397942304611206,1.9026479721069336,0.3440302312374115,0.2727760672569275,0.4841918349266052,1.8171491622924805
B3,1.8884236812591553,0.0,2.743906021118164,1.899696707725525,1.5266450643539429,1.6508660316467285,1.598311185836792,1.625199317932129,1.894249677658081,2.0345420837402344,1.1487735509872437,1.8193604946136475,1.9235485792160034,1.8725461959838867,2.1495141983032227
B9,5.037353515625,2.743906021118164,0.0,5.135050296783447,4.7477126121521,3.1375508308410645,4.581116199493408,4.40872859954834,5.289909839630127,5.302903652191162,2.8113746643066406,5.148799896240234,4.953076362609863,5.0955634117126465,3.4127376079559326
B11,0.48043572902679443,1.899696707725525,5.135050296783447,0.0,0.967124342918396,2.4553751945495605,0.44098934531211853,0.5103858709335327,0.43211662769317627,0.298836350440979,1.8101661205291748,0.3946974575519562,0.529991626739502,0.31358084082603455,1.8312668800354004
B12,1.019002914428711,1.5266450643539429,4.7477126121521,0.967124342918396,0.0,2.3782670497894287,0.6791703701019287,0.8951190710067749,1.0462236404418945,1.0315144062042236,1.344763994216919,0.7839283347129822,0.9172027111053467,0.785801112651825,1.4173531532287598
B15,2.3679933547973633,1.6508660316467285,3.1375508308410645,2.4553751945495605,2.3782670497894287,0.0,2.2283170223236084,2.149773120880127,2.6920876502990723,2.3897953033447266,2.119964122772217,2.453737497329712,2.479621171951294,2.3626885414123535,1.892212152481079
B16,0.4247369170188904,1.598311185836792,4.581116199493408,0.44098934531211853,0.6791703701019287,2.2283170223236084,0.0,0.4674549400806427,0.47193092107772827,0.48843783140182495,1.496588945388794,0.4407772421836853,0.4539090692996979,0.4392225742340088,1.399599552154541
B25,0.29647159576416016,1.625199317932129,4.40872859954834,0.5103858709335327,0.8951190710067749,2.149773120880127,0.4674549400806427,0.0,0.3502362370491028,0.6148583292961121,1.5569491386413574,0.3122861981391907,0.30350998044013977,0.4201720356941223,1.574692726135254
B26,0.2552168667316437,1.894249677658081,5.289909839630127,0.43211662769317627,1.0462236404418945,2.6920876502990723,0.47193092107772827,0.3502362370491028,0.0,0.4657047688961029,1.9642679691314697,0.3207155764102936,0.25408875942230225,0.47392162680625916,2.1442737579345703
B32,0.46397942304611206,2.0345420837402344,5.302903652191162,0.298836350440979,1.0315144062042236,2.3897953033447266,0.48843783140182495,0.6148583292961121,0.4657047688961029,0.0,1.9355854988098145,0.49020397663116455,0.5554423332214355,0.398762583732605,1.8708710670471191
B38,1.9026479721069336,1.1487735509872437,2.8113746643066406,1.8101661205291748,1.344763994216919,2.119964122772217,1.496588945388794,1.5569491386413574,1.9642679691314697,1.9355854988098145,0.0,1.6834206581115723,1.861989974975586,1.7530007362365723,1.734539270401001
B44,0.3440302312374115,1.8193604946136475,5.148799896240234,0.3946974575519562,0.7839283347129822,2.453737497329712,0.4407772421836853,0.3122861981391907,0.3207155764102936,0.49020397663116455,1.6834206581115723,0.0,0.3643720746040344,0.30695587396621704,1.754978895187378
B45,0.2727760672569275,1.9235485792160034,4.953076362609863,0.529991626739502,0.9172027111053467,2.479621171951294,0.4539090692996979,0.30350998044013977,0.25408875942230225,0.5554423332214355,1.861989974975586,0.3643720746040344,0.0,0.5057348608970642,1.7170708179473877
B48,0.4841918349266052,1.8725461959838867,5.0955634117126465,0.31358084082603455,0.785801112651825,2.3626885414123535,0.4392225742340088,0.4201720356941223,0.47392162680625916,0.398762583732605,1.7530007362365723,0.30695587396621704,0.5057348608970642,0.0,1.5834331512451172
B49,1.8171491622924805,2.1495141983032227,3.4127376079559326,1.8312668800354004,1.4173531532287598,1.892212152481079,1.399599552154541,1.574692726135254,2.1442737579345703,1.8708710670471191,1.734539270401001,1.754978895187378,1.7170708179473877,1.5834331512451172,0.0
