Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
9,24,7,1,,,,275.0,0,0,0,0.0
10,1,1,1,,,,261.0,0,0,0,0.0
10,2,1,1,,,,258.0,0,0,0,0.0
10,3,1,1,,,,262.0,0,0,0,0.0
10,4,1,1,,,,266.0,0,0,0,0.0
10,5,1,1,,,,258.0,0,0,0,0.0
10,6,1,1,,,,249.5,0,0,0,3.0
10,7,1,1,,,,255.5,0,0,0,52.0
10,8,1,1,,,,259.5,0,0,0,112.0
10,9,1,1,,,,271.5,0,0,0,195.0
10,10,1,1,,,,273.5,0,0,0,215.0
10,11,1,1,,,,299.0,0,0,0,170.0
10,12,1,1,,,,295.5,0,0,0,150.0
10,13,1,1,,,,290.5,0,0,0,118.0
10,14,1,1,,,,301.5,0,0,0,73.0
10,15,1,1,,,,300.5,0,0,0,49.0
10,16,1,1,,,,302.0,0,0,0,28.0
10,17,1,1,,,,295.5,0,0,0,3.0
10,18,1,1,,,,298.0,0,0,0,0.0
10,19,1,1,,,,303.5,0,0,0,0.0
10,20,1,1,,,,301.0,0,0,0,0.0
10,21,1,1,,,,275.0,0,0,0,0.0
10,22,1,1,,,,285.0,0,0,0,0.0
10,23,1,1,,,,270.0,0,0,0,0.0
10,24,1,1,,,,274.0,0,0,0,0.0
10,1,2,1,,,,263.5,0,0,0,0.0
10,2,2,1,,,,264.0,0,0,0,0.0
10,3,2,1,,,,273.0,0,0,0,0.0
10,4,2,1,,,,266.0,0,0,0,0.0
10,5,2,1,,,,269.0,0,0,0,0.0
10,6,2,1,,,,277.0,0,0,0,60.0
10,7,2,1,,,,320.0,0,0,0,303.0
10,8,2,1,,,,405.0,0,0,0,412.0
10,9,2,1,,,,430.5,0,0,0,611.0
10,10,2,1,,,,443.5,0,0,0,615.0
10,11,2,1,,,,465.0,0,0,0,557.0
10,12,2,1,,,,459.0,0,0,0,660.0
10,13,2,1,,,,446.0,0,0,0,751.0
10,14,2,1,,,,441.0,0,0,0,288.0
10,15,2,1,,,,441.5,0,0,0,124.0
10,16,2,1,,,,429.5,0,0,0,53.0
10,17,2,1,,,,364.0,0,0,0,3.0
10,18,2,1,,,,336.0,0,0,0,0.0
10,19,2,1,,,,314.0,0,0,0,0.0
10,20,2,1,,,,304.0,0,0,0,0.0
