Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,5,0,,,,135.0,0,0,0,0.0
1,1,6,0,,,,135.5,0,0,0,0.0
1,2,6,0,,,,136.5,0,0,0,0.0
1,3,6,0,,,,137.0,0,0,0,0.0
1,4,6,0,,,,135.5,0,0,0,0.0
1,5,6,0,,,,137.0,0,0,0,0.0
1,6,6,0,,,,135.5,0,0,0,0.0
1,7,6,0,,,,141.0,0,0,0,0.0
1,8,6,0,,,,140.5,0,0,0,1.0
1,9,6,0,,,,139.5,0,0,0,15.0
1,10,6,0,,,,139.5,0,0,0,40.0
1,11,6,0,,,,137.0,0,0,0,67.0
1,12,6,0,,,,138.0,0,0,0,94.0
1,13,6,0,,,,141.0,0,0,0,67.0
1,14,6,0,,,,144.0,0,0,0,18.0
1,15,6,0,,,,145.5,0,0,0,0.0
1,16,6,0,,,,145.5,0,0,0,0.0
1,17,6,0,,,,145.5,0,0,0,0.0
1,18,6,0,,,,142.5,0,0,0,0.0
1,19,6,0,,,,142.0,0,0,0,0.0
1,20,6,0,,,,143.0,0,0,0,0.0
1,21,6,0,,,,139.0,0,0,0,0.0
1,22,6,0,,,,140.0,0,0,0,0.0
1,23,6,0,,,,141.0,0,0,0,0.0
1,24,6,0,,,,139.5,0,0,0,0.0
1,1,7,0,,,,137.5,0,0,0,0.0
1,2,7,0,,,,138.0,0,0,0,0.0
1,3,7,0,,,,137.0,0,0,0,0.0
1,4,7,0,,,,136.5,0,0,0,0.0
1,5,7,0,,,,137.5,0,0,0,0.0
1,6,7,0,,,,136.5,0,0,0,0.0
1,7,7,0,,,,138.0,0,0,0,0.0
1,8,7,0,,,,141.0,0,0,0,14.0
1,9,7,0,,,,144.0,0,0,0,89.0
1,10,7,0,,,,145.5,0,0,0,135.0
1,11,7,0,,,,148.5,0,0,0,124.0
1,12,7,0,,,,149.0,0,0,0,88.0
1,13,7,0,,,,147.0,0,0,0,60.0
1,14,7,0,,,,148.5,0,0,0,19.0
1,15,7,0,,,,145.5,0,0,0,0.0
1,16,7,0,,,,148.5,0,0,0,0.0
1,17,7,0,,,,148.5,0,0,0,0.0
1,18,7,0,,,,146.5,0,0,0,0.0
1,19,7,0,,,,147.5,0,0,0,0.0
1,20,7,0,,,,147.5,0,0,0,0.0
1,21,7,0,,,,148.0,0,0,0,0.0
1,22,7,0,,,,145.5,0,0,0,0.0
1,23,7,0,,,,145.5,0,0,0,0.0
1,24,7,0,,,,144.0,0,0,0,0.0
