,B0,B3,B9,B11,B12,B15,B16,B25,B26,B32,B38,B44,B45,B48,B49
B0,0,2.294,5.964,0.493,0.875,2.695,0.378,0.271,0.233,0.445,2.021,0.303,0.261,0.45,1.49
B3,2.294,0,2.917,2.243,1.813,1.671,1.92,2.057,2.205,2.287,1.115,2.237,2.347,2.158,2.138
B9,5.964,2.917,0,6.125,5.488,3.557,5.26,5.406,6.111,6.046,3.121,6.086,5.991,5.797,3.873
B11,0.493,2.243,6.125,0,0.854,2.729,0.436,0.501,0.386,0.274,1.84,0.371,0.524,0.273,1.634
B12,0.875,1.813,5.488,0.854,0,2.527,0.608,0.715,0.769,0.944,1.457,0.694,0.723,0.697,1.227
B15,2.695,1.671,3.557,2.729,2.527,0,2.316,2.484,2.837,2.472,1.949,2.726,2.763,2.519,1.804
B16,0.378,1.92,5.26,0.436,0.608,2.316,0,0.388,0.397,0.462,1.586,0.382,0.406,0.403,1.068
B25,0.271,2.057,5.406,0.501,0.715,2.484,0.388,0,0.298,0.551,1.623,0.27,0.273,0.391,1.272
B26,0.233,2.205,6.111,0.386,0.769,2.837,0.397,0.298,0,0.413,1.926,0.268,0.226,0.373,1.672
B32,0.445,2.287,6.046,0.274,0.944,2.472,0.462,0.551,0.413,0,1.989,0.451,0.55,0.327,1.588
B38,2.021,1.115,3.121,1.84,1.457,1.949,1.586,1.623,1.926,1.989,0,1.832,1.913,1.775,1.595
B44,0.303,2.237,6.086,0.371,0.694,2.726,0.382,0.27,0.268,0.451,1.832,0,0.32,0.292,1.447
B45,0.261,2.347,5.991,0.524,0.723,2.763,0.406,0.273,0.226,0.55,1.913,0.32,0,0.467,1.384
B48,0.45,2.158,5.797,0.273,0.697,2.519,0.403,0.391,0.373,0.327,1.775,0.292,0.467,0,1.332
B49,1.49,2.138,3.873,1.634,1.227,1.804,1.068,1.272,1.672,1.588,1.595,1.447,1.384,1.332,0
