Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,7,0,,,,245.5,0,0,0,0.0
1,1,1,0,,,,250.7,0,0,0,0.0
1,2,1,0,,,,249.1,0,0,0,0.0
1,3,1,0,,,,251.6,0,0,0,0.0
1,4,1,0,,,,251.2,0,0,0,0.0
1,5,1,0,,,,247.4,0,0,0,0.0
1,6,1,0,,,,241.8,0,0,0,0.0
1,7,1,0,,,,239.4,0,0,0,0.0
1,8,1,0,,,,240.2,0,0,0,0.0
1,9,1,0,,,,235.1,0,0,0,3.0
1,10,1,0,,,,237.0,0,0,0,7.0
1,11,1,0,,,,241.1,0,0,0,8.0
1,12,1,0,,,,240.6,0,0,0,9.0
1,13,1,0,,,,240.3,0,0,0,6.0
1,14,1,0,,,,240.9,0,0,0,2.0
1,15,1,0,,,,241.1,0,0,0,0.0
1,16,1,0,,,,241.4,0,0,0,0.0
1,17,1,0,,,,240.2,0,0,0,0.0
1,18,1,0,,,,238.5,0,0,0,0.0
1,19,1,0,,,,240.4,0,0,0,0.0
1,20,1,0,,,,240.9,0,0,0,0.0
1,21,1,0,,,,241.4,0,0,0,0.0
1,22,1,0,,,,244.1,0,0,0,0.0
1,23,1,0,,,,242.6,0,0,0,0.0
1,24,1,0,,,,245.1,0,0,0,0.0
1,1,2,0,,,,253.9,0,0,0,0.0
1,2,2,0,,,,263.4,0,0,0,0.0
1,3,2,0,,,,262.8,0,0,0,0.0
1,4,2,0,,,,266.9,0,0,0,0.0
1,5,2,0,,,,267.6,0,0,0,0.0
1,6,2,0,,,,289.4,0,0,0,0.0
1,7,2,0,,,,307.2,0,0,0,0.0
1,8,2,0,,,,314.1,0,0,0,76.0
1,9,2,0,,,,317.4,0,0,0,291.0
1,10,2,0,,,,306.6,0,0,0,464.0
1,11,2,0,,,,291.6,0,0,0,487.0
1,12,2,0,,,,286.4,0,0,0,508.0
1,13,2,0,,,,277.4,0,0,0,483.0
1,14,2,0,,,,296.7,0,0,0,363.0
1,15,2,0,,,,294.2,0,0,0,116.0
1,16,2,0,,,,306.4,0,0,0,0.0
1,17,2,0,,,,299.0,0,0,0,0.0
1,18,2,0,,,,276.2,0,0,0,0.0
1,19,2,0,,,,276.5,0,0,0,0.0
1,20,2,0,,,,276.3,0,0,0,0.0
1,21,2,0,,,,267.4,0,0,0,0.0
1,22,2,0,,,,261.2,0,0,0,0.0
1,23,2,0,,,,264.6,0,0,0,0.0
1,24,2,0,,,,263.5,0,0,0,0.0
1,1,3,0,,,,262.1,0,0,0,0.0
1,2,3,0,,,,258.8,0,0,0,0.0
1,3,3,0,,,,261.1,0,0,0,0.0
1,4,3,0,,,,266.5,0,0,0,0.0
1,5,3,0,,,,273.8,0,0,0,0.0
1,6,3,0,,,,296.9,0,0,0,0.0
1,7,3,0,,,,346.6,0,0,0,0.0
1,8,3,0,,,,435.5,0,0,0,6.0
1,9,3,0,,,,488.6,0,0,0,81.0
1,10,3,0,,,,519.7,0,0,0,294.0
1,11,3,0,,,,506.3,0,0,0,425.0
1,12,3,0,,,,518.2,0,0,0,428.0
1,13,3,0,,,,510.1,0,0,0,307.0
1,14,3,0,,,,483.3,0,0,0,120.0
1,15,3,0,,,,500.2,0,0,0,24.0
1,16,3,0,,,,490.1,0,0,0,0.0
1,17,3,0,,,,400.1,0,0,0,0.0
1,18,3,0,,,,347.9,0,0,0,0.0
1,19,3,0,,,,315.7,0,0,0,0.0
1,20,3,0,,,,296.0,0,0,0,0.0
1,21,3,0,,,,286.8,0,0,0,0.0
1,22,3,0,,,,286.3,0,0,0,0.0
1,23,3,0,,,,279.6,0,0,0,0.0
1,24,3,0,,,,276.5,0,0,0,0.0
1,1,4,0,,,,271.5,0,0,0,0.0
1,2,4,0,,,,270.8,0,0,0,0.0
1,3,4,0,,,,266.6,0,0,0,0.0
1,4,4,0,,,,271.8,0,0,0,0.0
1,5,4,0,,,,289.5,0,0,0,0.0
