Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
6,24,6,1,,,,140.6,0,0,0,0.0
7,1,7,1,,,,140.9,0,0,0,0.0
7,2,7,1,,,,142.0,0,0,0,0.0
7,3,7,1,,,,140.2,0,0,0,0.0
7,4,7,1,,,,139.8,0,0,0,41.0
7,5,7,1,,,,138.7,0,0,0,136.0
7,6,7,1,,,,137.2,0,0,0,273.0
7,7,7,1,,,,139.7,0,0,0,415.0
7,8,7,1,,,,142.4,0,0,0,495.0
7,9,7,1,,,,160.8,0,0,0,620.0
7,10,7,1,,,,173.0,0,0,0,821.0
7,11,7,1,,,,176.7,0,0,0,847.0
7,12,7,1,,,,179.3,0,0,0,787.0
7,13,7,1,,,,178.1,0,0,0,602.0
7,14,7,1,,,,180.9,0,0,0,494.0
7,15,7,1,,,,168.7,0,0,0,524.0
7,16,7,1,,,,156.7,0,0,0,452.0
7,17,7,1,,,,157.9,0,0,0,401.0
7,18,7,1,,,,159.1,0,0,0,169.0
7,19,7,1,,,,159.0,0,0,0,20.0
7,20,7,1,,,,159.1,0,0,0,0.0
7,21,7,1,,,,159.3,0,0,0,0.0
7,22,7,1,,,,154.6,0,0,0,0.0
7,23,7,1,,,,151.4,0,0,0,0.0
7,24,7,1,,,,149.9,0,0,0,0.0
7,1,1,1,,,,147.0,0,0,0,0.0
7,2,1,1,,,,146.2,0,0,0,0.0
7,3,1,1,,,,143.7,0,0,0,0.0
7,4,1,1,,,,140.8,0,0,0,120.0
7,5,1,1,,,,138.7,0,0,0,466.0
7,6,1,1,,,,135.7,0,0,0,718.0
7,7,1,1,,,,139.4,0,0,0,842.0
7,8,1,1,,,,146.5,0,0,0,880.0
7,9,1,1,,,,167.5,0,0,0,891.0
7,10,1,1,,,,183.0,0,0,0,898.0
7,11,1,1,,,,184.7,0,0,0,896.0
7,12,1,1,,,,187.0,0,0,0,887.0
7,13,1,1,,,,189.8,0,0,0,877.0
7,14,1,1,,,,196.8,0,0,0,858.0
7,15,1,1,,,,181.9,0,0,0,828.0
7,16,1,1,,,,169.3,0,0,0,777.0
7,17,1,1,,,,164.0,0,0,0,684.0
7,18,1,1,,,,160.2,0,0,0,486.0
7,19,1,1,,,,157.0,0,0,0,171.0
7,20,1,1,,,,160.3,0,0,0,0.0
7,21,1,1,,,,159.4,0,0,0,0.0
7,22,1,1,,,,154.0,0,0,0,0.0
7,23,1,1,,,,150.4,0,0,0,0.0
7,24,1,1,,,,145.9,0,0,0,0.0
7,1,2,1,,,,145.6,0,0,0,0.0
7,2,2,1,,,,143.2,0,0,0,0.0
7,3,2,1,,,,142.3,0,0,0,0.0
7,4,2,1,,,,139.9,0,0,0,178.0
7,5,2,1,,,,150.3,0,0,0,337.0
7,6,2,1,,,,164.5,0,0,0,328.0
7,7,2,1,,,,183.1,0,0,0,546.0
7,8,2,1,,,,202.3,0,0,0,629.0
7,9,2,1,,,,220.8,0,0,0,729.0
7,10,2,1,,,,238.0,0,0,0,698.0
7,11,2,1,,,,241.5,0,0,0,661.0
7,12,2,1,,,,236.1,0,0,0,605.0
7,13,2,1,,,,246.4,0,0,0,560.0
7,14,2,1,,,,249.3,0,0,0,583.0
7,15,2,1,,,,250.2,0,0,0,524.0
7,16,2,1,,,,243.3,0,0,0,481.0
7,17,2,1,,,,228.9,0,0,0,285.0
7,18,2,1,,,,216.2,0,0,0,68.0
7,19,2,1,,,,186.9,0,0,0,25.0
7,20,2,1,,,,168.7,0,0,0,0.0
7,21,2,1,,,,150.4,0,0,0,0.0
7,22,2,1,,,,143.3,0,0,0,0.0
7,23,2,1,,,,150.5,0,0,0,0.0
7,24,2,1,,,,153.6,0,0,0,0.0
7,1,3,1,,,,150.2,0,0,0,0.0
7,2,3,1,,,,148.8,0,0,0,0.0
7,3,3,1,,,,143.7,0,0,0,0.0
7,4,3,1,,,,141.8,0,0,0,31.0
7,5,3,1,,,,158.2,0,0,0,72.0
7,6,3,1,,,,170.6,0,0,0,108.0
7,7,3,1,,,,196.2,0,0,0,174.0
7,8,3,1,,,,218.7,0,0,0,298.0
7,9,3,1,,,,243.4,0,0,0,474.0
7,10,3,1,,,,252.5,0,0,0,585.0
7,11,3,1,,,,258.2,0,0,0,517.0
7,12,3,1,,,,256.8,0,0,0,339.0
7,13,3,1,,,,256.6,0,0,0,330.0
7,14,3,1,,,,270.7,0,0,0,339.0
7,15,3,1,,,,261.5,0,0,0,347.0
7,16,3,1,,,,248.1,0,0,0,302.0
7,17,3,1,,,,233.1,0,0,0,241.0
7,18,3,1,,,,214.7,0,0,0,97.0
7,19,3,1,,,,203.1,0,0,0,19.0
7,20,3,1,,,,189.3,0,0,0,0.0
7,21,3,1,,,,173.4,0,0,0,0.0
7,22,3,1,,,,162.2,0,0,0,0.0
7,23,3,1,,,,159.1,0,0,0,0.0
7,24,3,1,,,,157.0,0,0,0,0.0
7,1,4,1,,,,155.1,0,0,0,0.0
7,2,4,1,,,,152.4,0,0,0,0.0
7,3,4,1,,,,153.3,0,0,0,0.0
7,4,4,1,,,,147.2,0,0,0,235.0
7,5,4,1,,,,164.4,0,0,0,532.0
7,6,4,1,,,,181.4,0,0,0,695.0
7,7,4,1,,,,198.9,0,0,0,773.0
7,8,4,1,,,,218.3,0,0,0,818.0
7,9,4,1,,,,233.5,0,0,0,822.0
7,10,4,1,,,,251.3,0,0,0,833.0
7,11,4,1,,,,247.7,0,0,0,829.0
7,12,4,1,,,,244.8,0,0,0,829.0
7,13,4,1,,,,255.9,0,0,0,804.0
7,14,4,1,,,,265.9,0,0,0,779.0
7,15,4,1,,,,274.7,0,0,0,744.0
7,16,4,1,,,,260.8,0,0,0,696.0
7,17,4,1,,,,244.2,0,0,0,561.0
7,18,4,1,,,,229.7,0,0,0,414.0
7,19,4,1,,,,220.3,0,0,0,149.0
7,20,4,1,,,,200.0,0,0,0,0.0
7,21,4,1,,,,176.7,0,0,0,0.0
7,22,4,1,,,,166.8,0,0,0,0.0
7,23,4,1,,,,161.2,0,0,0,0.0
7,24,4,1,,,,161.0,0,0,0,0.0
7,1,5,1,,,,157.3,0,0,0,0.0
7,2,5,1,,,,158.3,0,0,0,0.0
7,3,5,1,,,,156.1,0,0,0,0.0
7,4,5,1,,,,154.3,0,0,0,183.0
7,5,5,1,,,,169.9,0,0,0,400.0
7,6,5,1,,,,187.7,0,0,0,393.0
7,7,5,1,,,,206.1,0,0,0,394.0
7,8,5,1,,,,229.0,0,0,0,500.0
7,9,5,1,,,,254.0,0,0,0,592.0
7,10,5,1,,,,265.2,0,0,0,631.0
7,11,5,1,,,,262.9,0,0,0,652.0
7,12,5,1,,,,270.2,0,0,0,674.0
7,13,5,1,,,,280.5,0,0,0,674.0
7,14,5,1,,,,286.3,0,0,0,663.0
7,15,5,1,,,,281.9,0,0,0,609.0
7,16,5,1,,,,260.1,0,0,0,478.0
7,17,5,1,,,,239.3,0,0,0,166.0
7,18,5,1,,,,224.2,0,0,0,45.0
7,19,5,1,,,,207.1,0,0,0,7.0
7,20,5,1,,,,195.9,0,0,0,0.0
7,21,5,1,,,,174.8,0,0,0,0.0
7,22,5,1,,,,166.3,0,0,0,0.0
7,23,5,1,,,,162.7,0,0,0,0.0
7,24,5,1,,,,161.6,0,0,0,0.0
7,1,6,1,,,,158.6,0,0,0,0.0
7,2,6,1,,,,156.5,0,0,0,0.0
7,3,6,1,,,,157.8,0,0,0,0.0
7,4,6,1,,,,153.4,0,0,0,187.0
7,5,6,1,,,,174.3,0,0,0,483.0
7,6,6,1,,,,184.8,0,0,0,628.0
7,7,6,1,,,,203.8,0,0,0,590.0
7,8,6,1,,,,226.6,0,0,0,582.0
7,9,6,1,,,,247.2,0,0,0,804.0
7,10,6,1,,,,257.4,0,0,0,818.0
7,11,6,1,,,,254.2,0,0,0,793.0
7,12,6,1,,,,261.1,0,0,0,807.0
7,13,6,1,,,,272.6,0,0,0,808.0
7,14,6,1,,,,279.7,0,0,0,771.0
7,15,6,1,,,,274.2,0,0,0,651.0
7,16,6,1,,,,257.9,0,0,0,365.0
7,17,6,1,,,,242.2,0,0,0,173.0
7,18,6,1,,,,225.2,0,0,0,58.0
7,19,6,1,,,,217.7,0,0,0,9.0
7,20,6,1,,,,199.4,0,0,0,0.0
7,21,6,1,,,,179.0,0,0,0,0.0
7,22,6,1,,,,166.2,0,0,0,0.0
7,23,6,1,,,,162.0,0,0,0,0.0
7,24,6,1,,,,158.2,0,0,0,0.0
7,1,7,1,,,,157.9,0,0,0,0.0
7,2,7,1,,,,158.8,0,0,0,0.0
7,3,7,1,,,,155.9,0,0,0,0.0
7,4,7,1,,,,155.7,0,0,0,46.0
7,5,7,1,,,,153.9,0,0,0,234.0
7,6,7,1,,,,153.5,0,0,0,548.0
7,7,7,1,,,,153.8,0,0,0,723.0
7,8,7,1,,,,159.8,0,0,0,760.0
7,9,7,1,,,,183.6,0,0,0,776.0
7,10,7,1,,,,196.8,0,0,0,795.0
7,11,7,1,,,,197.6,0,0,0,792.0
7,12,7,1,,,,198.5,0,0,0,785.0
7,13,7,1,,,,200.8,0,0,0,796.0
7,14,7,1,,,,202.4,0,0,0,806.0
7,15,7,1,,,,185.6,0,0,0,799.0
7,16,7,1,,,,174.3,0,0,0,737.0
7,17,7,1,,,,168.7,0,0,0,553.0
7,18,7,1,,,,167.9,0,0,0,310.0
7,19,7,1,,,,164.4,0,0,0,78.0
7,20,7,1,,,,163.5,0,0,0,0.0
7,21,7,1,,,,163.9,0,0,0,0.0
7,22,7,1,,,,158.7,0,0,0,0.0
