Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.1821,0.2018,0.1729,0.1982
0.1757,0.2282,0.1654,0.1793
0.1742,0.2221,0.1684,0.1732
0.1738,0.1888,0.3351,0.1732
0.1758,0.1956,0.35,0.1892
0.183,0.2006,0.35,0.1968
0.2018,0.1729,0.2604,0.2414
0.2282,0.1654,0.2434,0.2741
0.2221,0.1684,0.2396,0.2637
0.1888,0.3351,0.1868,0.2501
0.1956,0.35,0.2045,0.2295
0.2006,0.35,0.1944,0.2129
0.1729,0.2604,0.1982,0.1827
0.1654,0.2434,0.1793,0.176
0.1684,0.2396,0.1732,0.1788
0.3351,0.1868,0.1732,0.3368
0.35,0.2045,0.1892,0.35
0.35,0.1944,0.1968,0.35
0.2604,0.1982,0.2414,0.2505
0.2434,0.1793,0.2741,0.2051
0.2396,0.1732,0.2637,0.1961
0.1868,0.1732,0.2501,0.1896
0.2045,0.1892,0.2295,0.2085
0.1944,0.1968,0.2129,0.1951
0.1982,0.2414,0.1827,0.1842
0.1793,0.2741,0.176,0.1744
0.1732,0.2637,0.1788,0.1678
0.1732,0.2501,0.3368,0.172
0.1892,0.2295,0.35,0.1698
0.1968,0.2129,0.35,0.1858
0.2414,0.1827,0.2505,0.1921
0.2741,0.176,0.2051,0.1973
0.2637,0.1788,0.1961,0.2455
0.2501,0.3368,0.1896,0.2525
0.2295,0.35,0.2085,0.2508
0.2129,0.35,0.1951,0.2433
0.1827,0.2505,0.1842,0.1902
0.176,0.2051,0.1744,0.1709
0.1788,0.1961,0.1678,0.1676
0.3368,0.1896,0.172,0.3119
0.35,0.2085,0.1698,0.35
0.35,0.1951,0.1858,0.35
0.2505,0.1842,0.1921,0.2384
0.2051,0.1744,0.1973,0.1973
0.1961,0.1678,0.2455,0.1957
0.1896,0.172,0.2525,0.1936
0.2085,0.1698,0.2508,0.219
0.1951,0.1858,0.2433,0.2059
0.1842,0.1921,0.1902,0.1872
0.1744,0.1973,0.1709,0.1797
0.1678,0.2455,0.1676,0.1859
0.172,0.2525,0.3119,0.1805
0.1698,0.2508,0.35,0.1764
0.1858,0.2433,0.35,0.1826
0.1921,0.1902,0.2384,0.1837
0.1973,0.1709,0.1973,0.1975
0.2455,0.1676,0.1957,0.2115
0.2525,0.3119,0.1936,0.2441
0.2508,0.35,0.219,0.2494
0.2433,0.35,0.2059,0.2494
0.1902,0.2384,0.1872,0.2078
0.1709,0.1973,0.1797,0.1778
0.1676,0.1957,0.1859,0.1772
0.3119,0.1936,0.1805,0.332
0.35,0.219,0.1764,0.35
0.35,0.2059,0.1826,0.35
0.2384,0.1872,0.1837,0.2337
0.1973,0.1797,0.1975,0.2171
0.1957,0.1859,0.2115,0.2186
0.1936,0.1805,0.2441,0.1908
0.219,0.1764,0.2494,0.1891
0.2059,0.1826,0.2494,0.151
0.1872,0.1837,0.2078,0.1465
0.1797,0.1975,0.1778,0.1429
0.1859,0.2115,0.1772,0.1433
0.1805,0.2441,0.332,0.1409
0.1764,0.2494,0.35,0.1588
0.1826,0.2494,0.35,0.1874
0.1837,0.2078,0.2337,0.2004
0.1975,0.1778,0.2171,0.1977
0.2115,0.1772,0.2186,0.2126
0.2441,0.332,0.1908,0.1947
0.2494,0.35,0.1891,0.1797
0.2494,0.35,0.151,0.215
0.2078,0.2337,0.1465,0.2161
0.1778,0.2171,0.1429,0.1829
0.1772,0.2186,0.1433,0.1839
0.332,0.1908,0.1409,0.3378
0.35,0.1891,0.1588,0.35
0.35,0.151,0.1874,0.35
0.2337,0.1465,0.2004,0.2578
0.2171,0.1429,0.1977,0.2145
0.2186,0.1433,0.2126,0.197
0.1908,0.1409,0.1947,0.2183
0.1891,0.1588,0.1797,0.2145
0.151,0.1874,0.215,0.1951
0.1465,0.2004,0.2161,0.1906
0.1429,0.1977,0.1829,0.1882
0.1433,0.2126,0.1839,0.1811
0.1409,0.1947,0.3378,0.1752
0.1588,0.1797,0.35,0.1847
0.1874,0.215,0.35,0.1883
0.2004,0.2161,0.2578,0.2059
0.1977,0.1829,0.2145,0.2492
0.2126,0.1839,0.197,0.2578
0.1947,0.3378,0.2183,0.2488
0.1797,0.35,0.2145,0.2233
0.215,0.35,0.1951,0.2185
0.2161,0.2578,0.1906,0.1863
0.1829,0.2145,0.1882,0.1741
0.1839,0.197,0.1811,0.1758
0.3378,0.2183,0.1752,0.331
0.35,0.2145,0.1847,0.35
0.35,0.1951,0.1883,0.35
0.2578,0.1906,0.2059,0.2328
0.2145,0.1882,0.2492,0.2136
0.197,0.1811,0.2578,0.2085
0.2183,0.1752,0.2488,0.199
0.2145,0.1847,0.2233,0.2045
0.1951,0.1883,0.2185,0.1858
0.1906,0.2059,0.1863,0.1861
0.1882,0.2492,0.1741,0.1812
0.1811,0.2578,0.1758,0.1821
0.1752,0.2488,0.331,0.1775
0.1847,0.2233,0.35,0.184
0.1883,0.2185,0.35,0.1947
0.2059,0.1863,0.2328,0.2053
0.2492,0.1741,0.2136,0.2183
0.2578,0.1758,0.2085,0.2315
0.2488,0.331,0.199,0.2308
0.2233,0.35,0.2045,0.2019
0.2185,0.35,0.1858,0.1984
0.1863,0.2328,0.1861,0.1808
0.1741,0.2136,0.1812,0.1785
0.1758,0.2085,0.1821,0.1742
0.331,0.199,0.1775,0.3469
0.35,0.2045,0.184,0.35
0.35,0.1858,0.1947,0.35
0.2328,0.1861,0.2053,0.2515
0.2136,0.1812,0.2183,0.2088
0.2085,0.1821,0.2315,0.2093
0.199,0.1775,0.2308,0.2051
0.2045,0.184,0.2019,0.2029
0.1858,0.1947,0.1984,0.1818
0.1861,0.2053,0.1808,0.1762
0.1812,0.2183,0.1785,0.1721
0.1821,0.2315,0.1742,0.1677
0.1775,0.2308,0.3469,0.1676
0.184,0.2019,0.35,0.1731
0.1947,0.1984,0.35,0.1875
0.2053,0.1808,0.2515,0.2128
0.2183,0.1785,0.2088,0.2132
0.2315,0.1742,0.2093,0.2244
0.2308,0.3469,0.2051,0.2052
0.2019,0.35,0.2029,0.2082
0.1984,0.35,0.1818,0.2085
0.1808,0.2515,0.1762,0.1831
0.1785,0.2088,0.1721,0.1765
