Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
9,24,7,1,,,,17.9,0,0,0,0.0
10,1,1,1,,,,18.4,0,0,0,0.0
10,2,1,1,,,,17.9,0,0,0,0.0
10,3,1,1,,,,17.5,0,0,0,0.0
10,4,1,1,,,,18.1,0,0,0,0.0
10,5,1,1,,,,18.1,0,0,0,0.0
10,6,1,1,,,,19.0,0,0,0,3.0
10,7,1,1,,,,18.7,0,0,0,52.0
10,8,1,1,,,,18.3,0,0,0,112.0
10,9,1,1,,,,18.4,0,0,0,195.0
10,10,1,1,,,,18.3,0,0,0,215.0
10,11,1,1,,,,18.4,0,0,0,170.0
10,12,1,1,,,,19.0,0,0,0,150.0
10,13,1,1,,,,19.2,0,0,0,118.0
10,14,1,1,,,,18.7,0,0,0,73.0
10,15,1,1,,,,18.6,0,0,0,49.0
10,16,1,1,,,,18.8,0,0,0,28.0
10,17,1,1,,,,19.5,0,0,0,3.0
10,18,1,1,,,,19.9,0,0,0,0.0
10,19,1,1,,,,20.1,0,0,0,0.0
10,20,1,1,,,,20.1,0,0,0,0.0
10,21,1,1,,,,19.2,0,0,0,0.0
10,22,1,1,,,,19.3,0,0,0,0.0
10,23,1,1,,,,18.6,0,0,0,0.0
10,24,1,1,,,,18.8,0,0,0,0.0
10,1,2,1,,,,17.9,0,0,0,0.0
10,2,2,1,,,,18.1,0,0,0,0.0
10,3,2,1,,,,18.2,0,0,0,0.0
10,4,2,1,,,,18.3,0,0,0,0.0
10,5,2,1,,,,18.5,0,0,0,0.0
10,6,2,1,,,,23.8,0,0,0,60.0
10,7,2,1,,,,27.5,0,0,0,303.0
10,8,2,1,,,,28.2,0,0,0,412.0
10,9,2,1,,,,30.8,0,0,0,611.0
10,10,2,1,,,,33.5,0,0,0,615.0
10,11,2,1,,,,32.1,0,0,0,557.0
10,12,2,1,,,,35.3,0,0,0,660.0
10,13,2,1,,,,34.0,0,0,0,751.0
10,14,2,1,,,,34.6,0,0,0,288.0
10,15,2,1,,,,34.1,0,0,0,124.0
10,16,2,1,,,,32.3,0,0,0,53.0
10,17,2,1,,,,26.8,0,0,0,3.0
10,18,2,1,,,,23.7,0,0,0,0.0
10,19,2,1,,,,21.8,0,0,0,0.0
10,20,2,1,,,,21.6,0,0,0,0.0
10,21,2,1,,,,21.2,0,0,0,0.0
10,22,2,1,,,,19.3,0,0,0,0.0
10,23,2,1,,,,18.0,0,0,0,0.0
10,24,2,1,,,,18.2,0,0,0,0.0
10,1,3,1,,,,18.0,0,0,0,0.0
10,2,3,1,,,,18.1,0,0,0,0.0
10,3,3,1,,,,18.0,0,0,0,0.0
10,4,3,1,,,,18.8,0,0,0,0.0
10,5,3,1,,,,18.6,0,0,0,0.0
10,6,3,1,,,,24.6,0,0,0,45.0
10,7,3,1,,,,27.8,0,0,0,311.0
10,8,3,1,,,,28.1,0,0,0,639.0
10,9,3,1,,,,30.3,0,0,0,757.0
10,10,3,1,,,,34.1,0,0,0,805.0
10,11,3,1,,,,35.6,0,0,0,828.0
10,12,3,1,,,,36.3,0,0,0,830.0
10,13,3,1,,,,35.6,0,0,0,815.0
10,14,3,1,,,,33.5,0,0,0,764.0
10,15,3,1,,,,33.3,0,0,0,641.0
10,16,3,1,,,,32.6,0,0,0,245.0
10,17,3,1,,,,28.9,0,0,0,3.0
10,18,3,1,,,,25.9,0,0,0,0.0
10,19,3,1,,,,23.9,0,0,0,0.0
10,20,3,1,,,,23.8,0,0,0,0.0
10,21,3,1,,,,24.0,0,0,0,0.0
10,22,3,1,,,,20.7,0,0,0,0.0
10,23,3,1,,,,19.0,0,0,0,0.0
10,24,3,1,,,,18.3,0,0,0,0.0
10,1,4,1,,,,18.5,0,0,0,0.0
10,2,4,1,,,,18.4,0,0,0,0.0
10,3,4,1,,,,18.5,0,0,0,0.0
10,4,4,1,,,,19.2,0,0,0,0.0
10,5,4,1,,,,18.8,0,0,0,0.0
10,6,4,1,,,,24.9,0,0,0,12.0
10,7,4,1,,,,26.7,0,0,0,84.0
10,8,4,1,,,,26.8,0,0,0,228.0
10,9,4,1,,,,30.9,0,0,0,332.0
10,10,4,1,,,,33.0,0,0,0,485.0
10,11,4,1,,,,35.1,0,0,0,554.0
10,12,4,1,,,,36.4,0,0,0,597.0
10,13,4,1,,,,37.8,0,0,0,514.0
10,14,4,1,,,,36.6,0,0,0,266.0
10,15,4,1,,,,34.7,0,0,0,206.0
10,16,4,1,,,,34.3,0,0,0,101.0
10,17,4,1,,,,30.3,0,0,0,5.0
10,18,4,1,,,,25.3,0,0,0,0.0
10,19,4,1,,,,23.2,0,0,0,0.0
10,20,4,1,,,,21.8,0,0,0,0.0
10,21,4,1,,,,20.0,0,0,0,0.0
10,22,4,1,,,,18.9,0,0,0,0.0
10,23,4,1,,,,18.3,0,0,0,0.0
10,24,4,1,,,,18.4,0,0,0,0.0
10,1,5,1,,,,18.2,0,0,0,0.0
10,2,5,1,,,,18.0,0,0,0,0.0
10,3,5,1,,,,18.0,0,0,0,0.0
10,4,5,1,,,,18.4,0,0,0,0.0
10,5,5,1,,,,18.5,0,0,0,0.0
10,6,5,1,,,,23.2,0,0,0,13.0
10,7,5,1,,,,27.0,0,0,0,173.0
10,8,5,1,,,,28.9,0,0,0,441.0
10,9,5,1,,,,32.2,0,0,0,738.0
10,10,5,1,,,,32.2,0,0,0,811.0
10,11,5,1,,,,32.8,0,0,0,860.0
10,12,5,1,,,,36.1,0,0,0,885.0
10,13,5,1,,,,34.6,0,0,0,866.0
10,14,5,1,,,,34.1,0,0,0,821.0
10,15,5,1,,,,33.9,0,0,0,719.0
10,16,5,1,,,,33.8,0,0,0,339.0
10,17,5,1,,,,28.7,0,0,0,29.0
10,18,5,1,,,,26.9,0,0,0,0.0
10,19,5,1,,,,22.9,0,0,0,0.0
10,20,5,1,,,,22.4,0,0,0,0.0
10,21,5,1,,,,21.8,0,0,0,0.0
10,22,5,1,,,,20.6,0,0,0,0.0
10,23,5,1,,,,18.2,0,0,0,0.0
10,24,5,1,,,,18.2,0,0,0,0.0
10,1,6,1,,,,18.2,0,0,0,0.0
10,2,6,1,,,,17.7,0,0,0,0.0
10,3,6,1,,,,18.0,0,0,0,0.0
10,4,6,1,,,,18.6,0,0,0,0.0
10,5,6,1,,,,18.5,0,0,0,0.0
10,6,6,1,,,,24.5,0,0,0,16.0
10,7,6,1,,,,27.0,0,0,0,210.0
10,8,6,1,,,,29.2,0,0,0,689.0
10,9,6,1,,,,31.6,0,0,0,804.0
10,10,6,1,,,,34.2,0,0,0,854.0
10,11,6,1,,,,36.0,0,0,0,881.0
10,12,6,1,,,,34.8,0,0,0,889.0
10,13,6,1,,,,33.7,0,0,0,875.0
10,14,6,1,,,,33.0,0,0,0,654.0
10,15,6,1,,,,34.6,0,0,0,276.0
10,16,6,1,,,,33.1,0,0,0,83.0
10,17,6,1,,,,29.5,0,0,0,1.0
10,18,6,1,,,,28.7,0,0,0,0.0
10,19,6,1,,,,26.5,0,0,0,0.0
10,20,6,1,,,,25.7,0,0,0,0.0
10,21,6,1,,,,25.0,0,0,0,0.0
10,22,6,1,,,,20.3,0,0,0,0.0
10,23,6,1,,,,18.6,0,0,0,0.0
10,24,6,1,,,,18.3,0,0,0,0.0
10,1,7,1,,,,18.1,0,0,0,0.0
10,2,7,1,,,,18.0,0,0,0,0.0
10,3,7,1,,,,18.0,0,0,0,0.0
10,4,7,1,,,,18.4,0,0,0,0.0
10,5,7,1,,,,18.6,0,0,0,0.0
10,6,7,1,,,,20.0,0,0,0,0.0
10,7,7,1,,,,19.5,0,0,0,12.0
10,8,7,1,,,,19.2,0,0,0,43.0
10,9,7,1,,,,19.2,0,0,0,133.0
10,10,7,1,,,,19.1,0,0,0,275.0
10,11,7,1,,,,19.0,0,0,0,301.0
10,12,7,1,,,,18.3,0,0,0,197.0
10,13,7,1,,,,18.3,0,0,0,101.0
10,14,7,1,,,,18.6,0,0,0,64.0
10,15,7,1,,,,19.3,0,0,0,46.0
10,16,7,1,,,,20.3,0,0,0,17.0
10,17,7,1,,,,20.1,0,0,0,1.0
10,18,7,1,,,,20.4,0,0,0,0.0
10,19,7,1,,,,19.7,0,0,0,0.0
10,20,7,1,,,,19.3,0,0,0,0.0
10,21,7,1,,,,19.2,0,0,0,0.0
10,22,7,1,,,,19.1,0,0,0,0.0
10,23,7,1,,,,18.6,0,0,0,0.0
10,24,7,1,,,,18.7,0,0,0,0.0
10,1,1,1,,,,18.1,0,0,0,0.0
10,2,1,1,,,,18.1,0,0,0,0.0
10,3,1,1,,,,18.1,0,0,0,0.0
10,4,1,1,,,,18.8,0,0,0,0.0
