Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.1444,0.1033,0.1415,0.1338
0.1307,0.0882,0.1438,0.1277
0.1191,0.1132,0.1395,0.1257
0.1191,0.123,0.1213,0.118
0.1043,0.1257,0.3125,0.1058
0.0996,0.1283,0.35,0.1014
0.1033,0.1415,0.303,0.1164
0.0882,0.1438,0.1467,0.1141
0.1132,0.1395,0.1364,0.1296
0.123,0.1213,0.1367,0.1442
0.1257,0.3125,0.1198,0.1335
0.1283,0.35,0.1351,0.1513
0.1415,0.303,0.1338,0.1552
0.1438,0.1467,0.1277,0.1601
0.1395,0.1364,0.1257,0.1422
0.1213,0.1367,0.118,0.1268
0.3125,0.1198,0.1058,0.3096
0.35,0.1351,0.1014,0.35
0.303,0.1338,0.1164,0.3226
0.1467,0.1277,0.1141,0.15
0.1364,0.1257,0.1296,0.1279
0.1367,0.118,0.1442,0.14
0.1198,0.1058,0.1335,0.119
0.1351,0.1014,0.1513,0.1306
0.1338,0.1164,0.1552,0.1321
0.1277,0.1141,0.1601,0.1347
0.1257,0.1296,0.1422,0.1203
0.118,0.1442,0.1268,0.1095
0.1058,0.1335,0.3096,0.0966
0.1014,0.1513,0.35,0.0936
0.1164,0.1552,0.3226,0.0999
0.1141,0.1601,0.15,0.0939
0.1296,0.1422,0.1279,0.1178
0.1442,0.1268,0.14,0.1247
0.1335,0.3096,0.119,0.127
0.1513,0.35,0.1306,0.1278
0.1552,0.3226,0.1321,0.1467
0.1601,0.15,0.1347,0.1499
0.1422,0.1279,0.1203,0.1338
0.1268,0.14,0.1095,0.124
0.3096,0.119,0.0966,0.3129
0.35,0.1306,0.0936,0.35
0.3226,0.1321,0.0999,0.2988
0.15,0.1347,0.0939,0.1444
0.1279,0.1203,0.1178,0.1264
0.14,0.1095,0.1247,0.1323
0.119,0.0966,0.127,0.1095
0.1306,0.0936,0.1278,0.1157
0.1321,0.0999,0.1467,0.1158
0.1347,0.0939,0.1499,0.1167
0.1203,0.1178,0.1338,0.1128
0.1095,0.1247,0.124,0.0849
0.0966,0.127,0.3129,0.0834
0.0936,0.1278,0.35,0.1058
0.0999,0.1467,0.2988,0.1179
0.0939,0.1499,0.1444,0.1273
0.1178,0.1338,0.1264,0.1286
0.1247,0.124,0.1323,0.1292
0.127,0.3129,0.1095,0.1258
0.1278,0.35,0.1157,0.1296
0.1467,0.2988,0.1158,0.1325
0.1499,0.1444,0.1167,0.1301
0.1338,0.1264,0.1128,0.1191
0.124,0.1323,0.0849,0.1235
0.3129,0.1095,0.0834,0.3014
0.35,0.1157,0.1058,0.35
0.2988,0.1158,0.1179,0.3294
0.1444,0.1167,0.1273,0.1433
0.1264,0.1128,0.1286,0.1258
0.1323,0.0849,0.1292,0.1302
0.1095,0.0834,0.1258,0.1245
0.1157,0.1058,0.1296,0.1152
0.1158,0.1179,0.1325,0.1147
0.1167,0.1273,0.1301,0.118
0.1128,0.1286,0.1191,0.1147
0.0849,0.1292,0.1235,0.118
0.0834,0.1258,0.3014,0.1158
0.1058,0.1296,0.35,0.1204
0.1179,0.1325,0.3294,0.127
0.1273,0.1301,0.1433,0.1292
0.1286,0.1191,0.1258,0.1352
0.1292,0.1235,0.1302,0.1479
0.1258,0.3014,0.1245,0.1439
0.1296,0.35,0.1152,0.1482
0.1325,0.3294,0.1147,0.1551
0.1301,0.1433,0.118,0.1499
0.1191,0.1258,0.1147,0.1466
0.1235,0.1302,0.118,0.1444
0.3014,0.1245,0.1158,0.3208
0.35,0.1152,0.1204,0.35
0.3294,0.1147,0.127,0.3357
0.1433,0.118,0.1292,0.1669
0.1258,0.1147,0.1352,0.1323
0.1302,0.118,0.1479,0.1235
0.1245,0.1158,0.1439,0.114
0.1152,0.1204,0.1482,0.1012
0.1147,0.127,0.1551,0.1108
0.118,0.1292,0.1499,0.1091
0.1147,0.1352,0.1466,0.1026
0.118,0.1479,0.1444,0.1043
0.1158,0.1439,0.3208,0.1058
0.1204,0.1482,0.35,0.1091
0.127,0.1551,0.3357,0.1213
0.1292,0.1499,0.1669,0.1434
0.1352,0.1466,0.1323,0.1755
0.1479,0.1444,0.1235,0.2161
0.1439,0.3208,0.114,0.2293
0.1482,0.35,0.1012,0.2293
0.1551,0.3357,0.1108,0.2538
0.1499,0.1669,0.1091,0.2216
0.1466,0.1323,0.1026,0.2044
0.1444,0.1235,0.1043,0.2346
0.3208,0.114,0.1058,0.35
0.35,0.1012,0.1091,0.35
0.3357,0.1108,0.1213,0.35
0.1669,0.1091,0.1434,0.2738
0.1323,0.1026,0.1755,0.1808
0.1235,0.1043,0.2161,0.1274
0.114,0.1058,0.2293,0.1181
0.1012,0.1091,0.2293,0.118
0.1108,0.1213,0.2538,0.1184
0.1091,0.1434,0.2216,0.1114
0.1026,0.1755,0.2044,0.1082
0.1043,0.2161,0.2346,0.1058
0.1058,0.2293,0.35,0.108
0.1091,0.2293,0.35,0.1102
0.1213,0.2538,0.35,0.1267
0.1434,0.2216,0.2738,0.1588
0.1755,0.2044,0.1808,0.1747
0.2161,0.2346,0.1274,0.1984
0.2293,0.35,0.1181,0.1984
0.2293,0.35,0.118,0.1973
0.2538,0.35,0.1184,0.1962
0.2216,0.2738,0.1114,0.1824
0.2044,0.1808,0.1082,0.1794
0.2346,0.1274,0.1058,0.1941
0.35,0.1181,0.108,0.3336
0.35,0.118,0.1102,0.35
0.35,0.1184,0.1267,0.3354
0.2738,0.1114,0.1588,0.187
0.1808,0.1082,0.1747,0.1474
0.1274,0.1058,0.1984,0.1321
0.1181,0.108,0.1984,0.1253
0.118,0.1102,0.1973,0.1209
0.1184,0.1267,0.1962,0.129
0.1114,0.1588,0.1824,0.1248
0.1082,0.1747,0.1794,0.1147
0.1058,0.1984,0.1941,0.1166
0.108,0.1984,0.3336,0.1212
0.1102,0.1973,0.35,0.1245
0.1267,0.1962,0.3354,0.145
0.1588,0.1824,0.187,0.1852
0.1747,0.1794,0.1474,0.1998
0.1984,0.1941,0.1321,0.2117
0.1984,0.3336,0.1253,0.2051
0.1973,0.35,0.1209,0.2198
0.1962,0.3354,0.129,0.2326
0.1824,0.187,0.1248,0.2179
0.1794,0.1474,0.1147,0.194
0.1941,0.1321,0.1166,0.226
0.3336,0.1253,0.1212,0.35
0.35,0.1209,0.1245,0.35
0.3354,0.129,0.145,0.35
0.187,0.1248,0.1852,0.1957
0.1474,0.1147,0.1998,0.1772
0.1321,0.1166,0.2117,0.151
0.1253,0.1212,0.2051,0.129
0.1209,0.1245,0.2198,0.161
0.129,0.145,0.2326,0.1551
0.1248,0.1852,0.2179,0.1446
0.1147,0.1998,0.194,0.1338
0.1166,0.2117,0.226,0.1243
0.1212,0.2051,0.35,0.128
0.1245,0.2198,0.35,0.1224
0.145,0.2326,0.35,0.114
0.1852,0.2179,0.1957,0.1167
0.1998,0.194,0.1772,0.1313
0.2117,0.226,0.151,0.1415
0.2051,0.35,0.129,0.1411
0.2198,0.35,0.161,0.1546
0.2326,0.35,0.1551,0.1557
0.2179,0.1957,0.1446,0.1331
0.194,0.1772,0.1338,0.1268
0.226,0.151,0.1243,0.1252
0.35,0.129,0.128,0.308
0.35,0.161,0.1224,0.35
0.35,0.1551,0.114,0.3197
0.1957,0.1446,0.1167,0.1588
0.1772,0.1338,0.1313,0.1365
